city_id,id,slug,is_nfc,cash_in,type,working_weekends,is_digital,lat,lng,work_hours_week,work_hours_saturday,work_hours_sunday,address,name,function
65,871,ucar-filiali-670,0,0,B,0,0,40.509614,47.6543353,09:00-17:00,,,"Ucar şəhəri, Oğuz küç., 44.",Ucar rayon filialı,branch
30,872,ismayilli-rayon-filiali-671,0,0,B,0,0,40.78208,48.15548,09:00-17:00,,,"İsmayıllı şəhəri, M.F. Axundov küçəsi 53 A",İsmayıllı rayon filialı,branch
22,873,goycay-filiali-672,0,0,B,0,0,40.64959774,47.74830256,09:00-17:00,,,"Göyçay rayonu, H. Z. Tağıyev küç",Göyçay filialı,branch
67,874,yevlax-filiali-673,0,0,B,0,0,40.616445,47.147981,09:00-17:00,,,"Yevlax şəhəri, H.Əliyev prospekti 20",Yevlax rayon filialı,branch
19,875,gedebey-rayon-filiali-674,0,0,B,0,0,40.57641,45.81008,09:00-17:00,,,"Gədəbəy şəhəri, 20 Yanvar küçəsi 4",Gədəbəy rayon filialı,branch
64,876,tovuz-filiali-675,0,0,B,0,0,40.99214,45.61733,09:00-17:00,,,"Tovuz şəhəri, Sabir küçəsi 19",Tovuz rayon filialı,branch
23,877,goygol-rayon-filiali-676,0,0,B,0,0,40.5889,46.31828,09:00-17:00,,,"Göygöl şəhəri, H.Əliyev prospekti 45",Göygöl rayon filialı,branch
17,878,dashkesen-rayon-filiali-677,0,0,B,0,0,40.52136,46.08276,09:00-17:00,,,"Daşkəsən şəhəri, M. Əsədov küçəsi 14",Daşkəsən rayon filialı,branch
52,879,samux-rayon-filiali-678,0,0,B,0,0,40.76659,46.40633,09:00-17:00,,,"Samux rayonu, Nəbiağalı qəsəbəsi, Nəriman Nərimanov küçəsi, 9",Samux rayon filialı,branch
18,880,fuzuli-rayon-filiali-684,0,0,B,1,0,39.447695,47.339079,10:00 – 12:00,,,"Füzuli rayonu, Horadiz şəhəri, 20 yanvar küçəsi 12",Füzuli rayon filialı,branch
13,881,cebrayil-rayon-filiali-683,0,0,B,0,0,39.450592,48.54318,09:00-17:00,,,"Biləsuvar rayonu, 8 saylı qəsəbə",Biləsuvar 2 filialı,branch
31,882,kengerli-filiali-685,0,0,B,0,0,39.41228,45.12082,09:00-17:00,,,"Kəngərli rayonu, Qıvraq qəs.",Kəngərli filialı,branch
42,884,cenub-filiali-795,0,0,B,0,0,39.020972,48.68957,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Masallı şəhəri, M.Talışxanov prospekti, ASAN xidmət",Cənub filialı,branch
